date,done,planned
2024-09-30,61,56
2024-09-30,61,56
2024-10-01,61,56
2024-10-01,61,56
2024-10-01,61,56
2024-10-01,61,56
2024-10-01,65,65
2024-10-01,65,65
2024-10-01,50,50
2024-10-02,64,62
2024-10-02,64,62
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,64,61
2024-10-04,61,57
2024-10-04,61,57
2024-10-04,61,57
2024-10-04,61,57
2024-10-04,61,57
2024-10-04,61,57
2024-10-04,61,57
2024-10-05,61,57
2024-10-05,61,57
2024-11-25,61,57
